timestamp,user_id,event_type,listing_id,transaction_value
2026-08-01 00:04:00,usr_039,search_executed,,0.0
2026-08-01 00:09:00,usr_005,search_executed,,0.0
2026-08-01 00:09:00,usr_030,match_requested,lst_013,0.0
2026-08-01 00:38:00,usr_015,match_requested,lst_011,0.0
2026-08-01 00:54:00,usr_028,match_requested,lst_007,0.0
2026-08-01 04:09:00,usr_034,listing_viewed,lst_003,0.0
2026-08-01 04:15:00,usr_005,listing_viewed,lst_002,0.0
2026-08-01 04:31:00,usr_044,transaction_completed,lst_010,91.26
2026-08-01 05:01:00,usr_031,transaction_completed,lst_001,83.91
2026-08-01 05:02:00,usr_040,match_requested,lst_008,0.0
2026-08-01 05:29:00,usr_049,search_executed,,0.0
2026-08-01 06:35:00,usr_041,match_requested,lst_009,0.0
2026-08-01 06:44:00,usr_048,search_executed,,0.0
2026-08-01 07:46:00,usr_023,search_executed,,0.0
2026-08-01 08:24:00,usr_049,search_executed,,0.0
2026-08-01 08:32:00,usr_047,search_executed,,0.0
2026-08-01 08:46:00,usr_025,search_executed,,0.0
2026-08-01 08:49:00,usr_040,match_requested,lst_001,0.0
2026-08-01 09:16:00,usr_031,match_requested,lst_010,0.0
2026-08-01 09:40:00,usr_022,listing_viewed,lst_003,0.0
2026-08-01 10:00:00,usr_045,listing_viewed,lst_018,0.0
2026-08-01 10:34:00,usr_006,listing_viewed,lst_009,0.0
2026-08-01 10:59:00,usr_036,search_executed,,0.0
2026-08-01 11:01:00,usr_037,transaction_completed,lst_009,271.97
2026-08-01 11:03:00,usr_015,search_executed,,0.0
2026-08-01 11:06:00,usr_029,transaction_completed,lst_019,68.39
2026-08-01 11:38:00,usr_049,transaction_completed,lst_005,205.28
2026-08-01 12:08:00,usr_021,transaction_completed,lst_004,129.85
2026-08-01 13:47:00,usr_043,transaction_completed,lst_004,463.44
2026-08-01 13:52:00,usr_003,search_executed,,0.0
2026-08-01 14:06:00,usr_011,listing_viewed,lst_019,0.0
2026-08-01 14:23:00,usr_039,listing_viewed,lst_004,0.0
2026-08-01 14:36:00,usr_032,listing_viewed,lst_015,0.0
2026-08-01 14:36:00,usr_006,listing_viewed,lst_001,0.0
2026-08-01 14:59:00,usr_006,match_requested,lst_003,0.0
2026-08-01 15:24:00,usr_013,transaction_completed,lst_006,477.41
2026-08-01 15:28:00,usr_038,listing_viewed,lst_012,0.0
2026-08-01 15:33:00,usr_015,listing_viewed,lst_003,0.0
2026-08-01 15:36:00,usr_049,transaction_completed,lst_006,410.35
2026-08-01 15:56:00,usr_041,search_executed,,0.0
2026-08-01 15:56:00,usr_020,search_executed,,0.0
