customer_id,total_spend,transaction_count,avg_basket_size,last_active
CUST_100,1225.0800000000002,14,87.50571428571429,2026-02-06 11:00:00
CUST_101,2597.81,20,129.8905,2026-02-11 08:00:00
CUST_102,2152.96,21,102.52190476190476,2026-02-11 02:00:00
CUST_103,2717.98,20,135.899,2026-02-10 11:00:00
CUST_104,1811.03,17,106.53117647058824,2026-02-10 15:00:00
CUST_105,2744.26,22,124.73909090909092,2026-02-11 04:00:00
CUST_106,2451.54,18,136.19666666666666,2026-02-09 02:00:00
CUST_107,3392.46,27,125.64666666666666,2026-02-11 15:00:00
CUST_108,1754.71,17,103.21823529411765,2026-02-10 05:00:00
CUST_109,2262.86,18,125.71444444444445,2026-02-08 19:00:00
CUST_110,1541.31,21,73.39571428571428,2026-02-09 10:00:00
CUST_111,2051.22,23,89.18347826086956,2026-02-03 11:00:00
CUST_112,1611.57,25,64.4628,2026-02-10 12:00:00
CUST_113,2392.7599999999998,19,125.93473684210525,2026-02-08 21:00:00
CUST_114,2628.89,28,93.88892857142856,2026-02-08 13:00:00
CUST_115,2129.39,16,133.086875,2026-02-07 06:00:00
CUST_116,1987.25,18,110.40277777777777,2026-02-11 10:00:00
CUST_117,2737.72,22,124.44181818181818,2026-02-09 04:00:00
CUST_118,1161.19,14,82.94214285714285,2026-02-09 14:00:00
CUST_119,2937.0299999999997,21,139.85857142857142,2026-02-06 08:00:00
CUST_120,1467.53,16,91.720625,2026-02-10 19:00:00
CUST_121,1646.23,18,91.45722222222223,2026-02-11 03:00:00
CUST_122,1517.32,17,89.25411764705882,2026-02-11 13:00:00
CUST_123,2072.04,20,103.602,2026-02-09 12:00:00
CUST_124,2582.84,27,95.66074074074075,2026-02-08 23:00:00
CUST_125,1438.76,23,62.55478260869565,2026-02-09 16:00:00
CUST_126,1226.48,11,111.49818181818182,2026-02-10 17:00:00
CUST_127,2454.81,17,144.40058823529412,2026-02-08 15:00:00
CUST_128,2030.1100000000001,26,78.08115384615385,2026-02-05 02:00:00
CUST_129,2284.33,18,126.90722222222222,2026-02-11 14:00:00
CUST_130,1700.04,15,113.336,2026-02-06 02:00:00
CUST_131,2262.65,23,98.37608695652175,2026-02-10 18:00:00
CUST_132,1997.98,20,99.899,2026-02-10 07:00:00
CUST_133,2245.63,24,93.56791666666668,2026-02-11 12:00:00
CUST_134,1728.1399999999999,22,78.55181818181818,2026-02-11 11:00:00
CUST_135,1755.86,19,92.41368421052631,2026-02-10 03:00:00
CUST_136,1447.3200000000002,22,65.78727272727274,2026-02-10 01:00:00
CUST_137,1698.19,17,99.8935294117647,2026-02-11 09:00:00
CUST_138,2202.68,22,100.12181818181817,2026-02-10 10:00:00
CUST_139,1252.44,13,96.34153846153846,2026-02-10 00:00:00
CUST_140,2552.13,22,116.0059090909091,2026-02-10 09:00:00
CUST_141,1904.11,20,95.2055,2026-02-09 18:00:00
CUST_142,971.22,14,69.37285714285714,2026-02-04 07:00:00
CUST_143,2442.98,25,97.7192,2026-02-11 07:00:00
CUST_144,2481.9300000000003,21,118.18714285714287,2026-02-09 21:00:00
CUST_145,1549.34,21,73.77809523809523,2026-02-09 22:00:00
CUST_146,2756.3,23,119.83913043478262,2026-02-08 02:00:00
CUST_147,2272.59,15,151.506,2026-02-08 11:00:00
CUST_148,1699.65,24,70.81875000000001,2026-02-10 13:00:00
CUST_149,2319.91,24,96.66291666666666,2026-02-10 23:00:00
